,model,precision,recall,f1
0,baseknn,0.7807586309224934,0.7920511000709723,0.765596005503032
1,basesvc,0.539583565248446,0.7345635202271115,0.6221548636948121
2,baseLogReg,0.7867327787717995,0.794889992902768,0.7894050717045749
3,baseTree,0.7255764454350624,0.7239176721078779,0.724729134163773
4,baseForest,0.7724943792171493,0.7863733144073811,0.774087517355334
5,normalknn,0.7561833124369306,0.7721788502484032,0.7590767211663195
6,normalsvc,0.7818972838591339,0.794180269694819,0.7833164581850546
7,normalLogReg,0.7807842855768062,0.7906316536550745,0.7836144259267688
8,normalTree,0.7246636293422154,0.7217885024840313,0.7231737968057119
9,normalForest,0.7692905985339441,0.7821149751596878,0.7721701619971046
10,stdknn,0.761860878333626,0.7735982966643009,0.7654803950461343
11,stdsvc,0.7855097099770401,0.7970191625266146,0.7871044913656481
12,stdLogReg,0.7790805405866935,0.7885024840312278,0.782020261415679
13,stdTree,0.7213427265526438,0.7196593328601846,0.7204833110403349
14,stdForest,0.7666967656146778,0.7806955287437899,0.7692654683180744
15,pcaknn,0.7601834319364482,0.7764371894960965,0.7620125831145359
16,pcasvc,0.7635106362572652,0.7792760823278921,0.7650346455511767
17,pcaLogReg,0.7484920115066676,0.765791341376863,0.7518368120523905
18,pcaTree,0.7171020146869206,0.7217885024840313,0.7192980714701981
19,pcaForest,0.7480277790468213,0.7650816181689141,0.7515713230718123
20,pca2knn,0.7601648351112744,0.7757274662881476,0.7626752759135133
21,pca2svc,0.7847787369299335,0.7970191625266146,0.7854845128916125
22,pca2LogReg,0.7825494909943718,0.7927608232789212,0.785207428791499
23,pca2Tree,0.7345411463194658,0.7395315826827538,0.7368311598340233
24,pca2Forest,0.7600208982616045,0.7743080198722498,0.7632840148750912
25,normalknn,0.7561833124369306,0.7721788502484032,0.7590767211663195
26,normalsvc,0.7818972838591339,0.794180269694819,0.7833164581850546
27,normalLogReg,0.7807842855768062,0.7906316536550745,0.7836144259267688
28,normalTree,0.7227539661801167,0.7210787792760823,0.7218985854148143
29,normalForest,0.7849984382164141,0.7970191625266146,0.786034038691685
